,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
0,10754147,,,,0,0,,,,,,,,,,,,6037,,,,,,,34144442,-118654084,85768,,,,,,010D,269,,60378002.04,37688,3101,,96337,0,,,,,,,,,,,9,2016,9,,,,
1,10759547,,,,0,0,,,,,,,,,,,,6037,,,,,,,34140430,-118625364,4083,,,,,,109,261,LCA11*,60378001.01,37688,3101,,96337,0,,,,,,,,,,,27516,2015,27516,,,,
2,10843547,,,,0,0,5,,,,,73026,,,73026,,,6037,,,,,,,33989359,-118394633,63085,,,,,,1200,47,LAC2,60377030.01,51617,3101,,96095,0,,,,2,,,1959,1,,660680,1434941,2016,774261,20800.37,,,
3,10859147,,,,0,0,3,6,,,,5068,,,5068,,,6037,,,,,,,34148863,-118437206,7521,,,,,,1200,47,LAC2,60371412.02,12447,3101,27080,96424,0,,,,,,,1948,1,,580059,1174475,2016,594416,14557.57,,,
4,10879947,,,,0,0,4,,,,,1776,,,1776,,,6037,,,,,,,34194168,-118385816,8512,,,,,,1210,31,LAM1,60371232.05,12447,3101,46795,96450,0,,,,1,,,1947,1,,196751,440101,2016,243350,5725.17,,,
5,10898347,,,,0,0,4,4,,,,2400,,,2400,,,6037,,,,,,,34171873,-118380906,2500,,,,,,1210,31,LAC4,60371252,12447,3101,46795,96446,0,,,,,,,1943,1,,179072,287634,2016,108562,3661.28,,,
6,10933547,,,,0,0,,,,,,,,,,,,6037,,,,,,,34131929,-118351474,,,,,,,010V,260,LAC2,60371437,12447,3101,274049,96049,0,,,,,,,,,,404013,563029,2016,159016,6773.34,,,
7,10940747,,,,0,0,,,,,,3611,,,3611,,,6037,,,,,,,34171345,-118314900,5333,,,,,,1210,31,BUC4YY,60373108,396054,3101,,96434,0,,,,,,,1946,1,,103553,698984,2016,595431,7857.84,,,
8,10954547,,,,0,0,,,,,,,,,,,,6037,,,,,,,34218210,-118331311,145865,,,,,,010D,269,BUR1*,60373101,396054,3101,,96436,0,,,,,,,,,,,9,2016,9,,,,
9,10976347,,,,0,0,3,4,,,,3754,,,3754,,,6037,,,,,,,34289776,-118432085,7494,,,,,,1210,31,SFC2*,60373202.02,47547,3101,,96366,0,,,,,,,1978,1,,221771,265184,2016,43413,4054.76,,,
